church_name,pastor_name,pastor_title,address,city,state,zip,district,phone,email,website,status,source,last_updated,lat,lng,ministries,notes
Cathedral of the Cross AOH Church of God,"Elijah H. Matthews, Jr.",Bishop,,Irvington,AL,,Headquarters,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Infinite Temple AOH Church of God,George B. Ayers,Bishop,"2675 St. Stephens Rd",Mobile,AL,36617,20,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
St. John AOH Church of God,,Overseer,,Prichard,AL,,20,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Word of Life Community Church,"Harry Hollifield Jr.",Pastor,"305 E Horner Street",Atmore,AL,36502,20,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Washington Memorial AOH Church of God,Robert Mason,Overseer,"3600 St Stephens Rd",Mobile,AL,36617,20,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Mount Pilgrim AOH Church of God,"Quinton McDuffie Sr.",Bishop,"16 Harris Street",Atmore,AL,36502,21,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Jackson AOH Church of God,,Elder,,Jackson,AL,,21,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Mt. Vernon AOH Church of God,,Elder,,Mt. Vernon,AL,,23,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Hillsdale Heights AOH Church of God,Dolly Davis,Reverend,,Prichard,AL,,23,,,,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
Carlton AOH Church of God,,,"403 South Lake Rd",Jackson,AL,36545,23,,carltonaohchurchofgod@gmail.com,carltonaohchurchofgod.net,pending,Image transcription,2026-04-15,,,,Transcribed from screenshots; verify all fields with headquarters
